Conference,Continent,Num_Papers
IEEEcloud,SA,299
IEEEcloud,EU,5233
IEEEcloud,NA,9507
IEEEcloud,AS,4011
IEEEcloud,OC,986
IEEEcloud,AF,111
ccgrid,NA,9370
ccgrid,AS,2961
ccgrid,EU,4949
ccgrid,OC,654
ccgrid,SA,298
ccgrid,AF,73
cloud,NA,8516
cloud,AS,2012
cloud,EU,2775
cloud,SA,121
cloud,OC,197
cloud,AF,23
europar,NA,5000
europar,EU,3532
europar,AS,1258
europar,SA,153
europar,OC,172
europar,AF,17
eurosys,NA,9392
eurosys,EU,3482
eurosys,AS,2264
eurosys,OC,296
eurosys,SA,79
eurosys,AF,13
ic2e,AF,24
ic2e,AS,884
ic2e,NA,2710
ic2e,EU,1603
ic2e,OC,187
ic2e,SA,87
icdcs,NA,17162
icdcs,EU,7519
icdcs,AS,7480
icdcs,OC,767
icdcs,SA,242
icdcs,AF,122
middleware,NA,4767
middleware,EU,2765
middleware,AS,1174
middleware,OC,204
middleware,AF,33
middleware,SA,106
nsdi,NA,10302
nsdi,AS,2340
nsdi,EU,3325
nsdi,SA,67
nsdi,OC,211
nsdi,AF,50
sigcomm,NA,11523
sigcomm,EU,4083
sigcomm,AS,2693
sigcomm,SA,127
sigcomm,OC,285
sigcomm,AF,35
