Conference,Year,Name,Institution,Continent
IEEEcloud,2012,Tony Shan,Keane Inc.,NA
IEEEcloud,2012,Jun Shen,University of Wollongong,OC
IEEEcloud,2012,Liuba Shrira,Brandeis University,NA
IEEEcloud,2012,Kwang Mong SIM,Gwangju Institute of Science and Technology,AS
IEEEcloud,2012,Toyotaro Suzumura,IBM Tokyo Research Laboratory,AS
IEEEcloud,2012,Chunqiang Tang,IBM T.J. Watson Research Center,NA
IEEEcloud,2012,Tao Tao,IBM T.J. Watson Research Center,NA
IEEEcloud,2012,Michiaki Tatsubori,IBM Tokyo Research Laboratory,AS
IEEEcloud,2012,Kerry Taylor,Commonwealth Scientific and Industrial Research Organisation,OC
IEEEcloud,2012,Naohiko Uramoto,IBM Tokyo Research Laboratory,AS
IEEEcloud,2012,Bhuvan Urgaonkar,Penn State University,NA
IEEEcloud,2012,Kunal Verma,Accenture Technology Labs,NA
IEEEcloud,2012,Andy Ju An Wang,Southern Polytechnic State University,NA
IEEEcloud,2012,Mathias Weske,University of Potsdam,EU
IEEEcloud,2012,Raymond Wong,University of New South Wales & NICTA,OC
IEEEcloud,2012,Dongyan Xu,Purdue University,NA
IEEEcloud,2012,Qi Yu,Rochester Institute of Technology,NA
IEEEcloud,2012,Gianluigi Zavattaro,University of Bologna,EU
IEEEcloud,2012,Gong Zhang,Oracle Corporation,NA
IEEEcloud,2012,Jia Zhang,Northern Illinois University,NA
IEEEcloud,2012,Liang-Jie Zhang,Kingdee International Software Group,AS
IEEEcloud,2012,Nianjun (Joe) Zhou,IBM Research,NA
IEEEcloud,2012,Wolf Zimmermann,Martin-Luther-Universität Halle-Wittenberg,EU
IEEEcloud,2013,Marco Aiello,University of Groningen,EU
IEEEcloud,2013,Mikio Aoyama,Nanzan University,AS
IEEEcloud,2013,Danilo Ardagna,Politecnico di Milano,EU
IEEEcloud,2013,Janaka L. Balasooriya,Arizona State University,NA
IEEEcloud,2013,Bhuvan Bamba,Oracle,NA
