Conference,Year,Name,Institution,Continent
ccgrid,2019,Giuseppe Di Modica,University of Catania,EU
ccgrid,2019,Matthieu Dorier,Argonne National Laboratory,NA
ccgrid,2019,Georgios Goumas,National Technical University of Athens,EU
ccgrid,2019,Bingsheng He,National University of Singapore,AS
ccgrid,2019,Hai Jin,Huazhong University of Science and Technology,AS
ccgrid,2019,Thomas Lambert,Inria,EU
ccgrid,2019,Adrien Lebre,IMT-Atlantique,EU
ccgrid,2019,Suzanne McIntosh,New York University - Courant Institute of Mathematical Sciences,NA
ccgrid,2019,Sharad Mehrotra,"University of California, Irvine",NA
ccgrid,2019,Sébastien Monnet,University Savoie Mont Blanc,EU
ccgrid,2019,Anastassios Nanos,OnApp Ltd.,EU
ccgrid,2019,Christian Perez,Inria,EU
ccgrid,2019,Guillaume Pierre,IRISA / Université de Rennes 1,EU
ccgrid,2019,Ioan Raicu,Illinois Institute of Technology,NA
ccgrid,2019,Michael Schoettner,Heinrich-Heine University Duesseldorf,EU
ccgrid,2019,Domenico Talia,University of Calabria,EU
ccgrid,2019,Osamu Tatebe,University of Tsukuba,AS
ccgrid,2019,Isaac Triguero,University of Nottingham,EU
ccgrid,2019,Hong-Ling Truong,Vienna University of Technology,EU
ccgrid,2019,Song Wu,Huazhong University of Science and Technology,AS
ccgrid,2019,Orcun Yildiz,Argonne National Laboratory,NA
ccgrid,2019,Long Zhao,University of Science and Technology of China,AS
ccgrid,2019,Amelie Chi Zhou,Shenzhen University,AS
ccgrid,2019,Shinobu Miwa,The University of Electro-Communications,AS
ccgrid,2019,Eitan Zahavi,Mellanox Technologies,NA
ccgrid,2019,Léo Grange,IRIT / University of Toulouse,EU
ccgrid,2019,Patricia Stolf,"IRIT, Université de Toulouse",EU
ccgrid,2019,Vladimir Vlassov,"Royal Institute of Technology (KTH), School for Information and Communication Technology",EU
ccgrid,2019,Paul Renaud-Goud,"IRIT, Université de Toulouse",EU
ccgrid,2019,Nectarios Koziris,National Technical University of Athens,EU
ccgrid,2019,Beniamino Di Martino,"University of Campania ""Luigi Vanvitelli""",EU
ccgrid,2019,Harald Kornmayer,DHBW Mannheim,EU
ccgrid,2019,Shrisha Rao,International Institute of Information Technology - Bangalore,AS
ccgrid,2019,Zhiyi Huang,University of Otago,OC
ccgrid,2019,Rong Ge,Clemson University,NA
ccgrid,2019,Jean-Marc Pierson,"IRIT, Université de Toulouse",EU
ccgrid,2019,Olivier Richard,LIG Laboratory Grenoble,EU
ccgrid,2019,Avi Mendelson,Technion,AS
ccgrid,2019,Zhiling Lan,Illinois Institute of Technology,NA
ccgrid,2019,Sebastien Lafond,Åbo Akademi University,EU
ccgrid,2019,Vatche Ishakian,"Bentley University, Computer Information Systems Department",NA
ccgrid,2019,Robert Ricci,University of Utah,NA
ccgrid,2019,Marian Bubak,AGH Krakow PL and University of Amsterdam NL,EU
ccgrid,2019,Ariel Oleksiak,Poznan Supercomputing and Networking Center,EU
ccgrid,2019,Jesus Escudero-Sahuquillo,University of Castilla-La Mancha,EU
ccgrid,2019,Nikolaos Chrysos,Foundation For Research & Technology - Hellas (FORTH),EU
ccgrid,2019,Gianni Antichi,University of Cambridge,EU
ccgrid,2019,Holger Fröning,University of Heidelberg,EU
ccgrid,2019,Soeren Sonntag,Intel,NA
ccgrid,2019,Pedro Javier Garcia,Universidad de Castilla-La Mancha,EU
ccgrid,2019,Hubertus Franke,IBM,NA
ccgrid,2019,Robert Birke,ABB Research,
ccgrid,2019,Andreea Simona Anghel,IBM Research - Zurich Research Laboratory,EU
ccgrid,2019,John Carter,IBM,NA
ccgrid,2019,Min Si,Argonne National Laboratory,NA
ccgrid,2019,Marco Chiesa,Universite catholique de Louvain,EU
ccgrid,2019,Balazs Gerofi,The University of Tokyo,AS
ccgrid,2019,John Thomson,OnApp,EU
ccgrid,2019,Jonathan Eastep,Intel,NA
ccgrid,2019,Warren Smith,"The Weather Company, an IBM Business",NA
ccgrid,2019,Sameer Shende,University of Oregon,NA
ccgrid,2019,Shangguang Wang,Beijing University of Posts and Telecommunications,AS
ccgrid,2019,Young Choon Lee,Macquarie University,OC
ccgrid,2019,Alexandru Uta,Vrije Universiteit Amsterdam,EU
ccgrid,2019,Marc Perache,"CEA,DAM,DIF",EU
ccgrid,2019,Bogdan Ghit,Databricks,NA
ccgrid,2019,Xing Liu,IBM,NA
ccgrid,2019,Lauren Smith,US Department of Defense,NA
ccgrid,2019,Mihai Capotă,Intel,NA
ccgrid,2019,Nikolas Roman Herbst,University of Würzburg,EU
ccgrid,2019,Alexandru Calotoiu,TU Darmstadt,EU
ccgrid,2019,Christian Terboven,RWTH Aachen University,EU
ccgrid,2019,Swaroop Pophale,Oak Ridge National Laboratory,NA
ccgrid,2019,Andreas Knuepfer,TU Dresden,EU
ccgrid,2019,Bronis de Supinski,Lawrence Livermore National Laboratory,NA
ccgrid,2019,Abhinav Bhatele,Lawrence Livermore National Laboratory,NA
ccgrid,2019,Karen L. Karavanic,Portland State University,NA
ccgrid,2019,Markus Geimer,Juelich Supercomputing Centre,EU
ccgrid,2019,Jean-Baptiste Besnard,ParaTools SAS,EU
ccgrid,2019,Erwin Laure,KTH/PDC,EU
ccgrid,2019,Simon Hammond,Sandia National Laboratories,NA
ccgrid,2019,Nathan Tallent,Pacific Northwest National Laboratory,NA
ccgrid,2019,Didem Unat,University of California San Diego,NA
ccgrid,2019,Sascha Hunold,Vienna University of Technology,EU
ccgrid,2019,Matei Ripeanu,The University of British Columbia,NA
ccgrid,2019,Naoya Maruyama,Lawrence Livermore National Laboratory,NA
ccgrid,2019,Bahman Javadi,Western Sydney University,OC
ccgrid,2019,Wenhong Tian,Uni. of Eletr. Sci. and Tech. of China,AS
ccgrid,2019,Yogesh Simmhan,Indian Institute of Science,AS
ccgrid,2019,Animesh Trivedi,"Vrije Universiteit, The Netherlands",EU
ccgrid,2019,Michele Weiland,The University of Edinburgh,EU
ccgrid,2019,Patrizio Dazzi,ISTI-CNR,EU
ccgrid,2019,Florina M. Ciorba,University of Basel,EU
ccgrid,2019,Murali Emani,Argonne National Laboratory,NA
ccgrid,2019,Dragi Kimovski,Alpen-Adria-Universität Klagenfurt,EU
ccgrid,2019,Hong-Linh Truong,Vienna University of Technology,EU
ccgrid,2019,Jan Hidders,Vrije Universiteit Brussel,EU
ccgrid,2019,Dan Holmes,The University of Edinburgh,EU
ccgrid,2019,Siegfried Benkner,University of Vienna,EU
ccgrid,2019,Jan S Rellermeyer,Delft University of Technology,EU
ccgrid,2019,Marios Fragkoulis,TU Delft,EU
ccgrid,2019,Jingling Xue,The University of New South Wales,OC
ccgrid,2019,Karl Fuerlinger,Ludwig Maximilian University of Munich,EU
ccgrid,2019,Stephen Olivier,Sandia National Laboratories,NA
ccgrid,2019,Sriram Krishnamoorthy,Pacific Northwest National Lab,NA
ccgrid,2019,Alexandre Eichenberger,IBM,NA
ccgrid,2019,Costin Iancu,LBNL,NA
ccgrid,2019,Peter Thoman,University of Innsbruck,EU
ccgrid,2019,Alexandre Denis,INRIA,EU
ccgrid,2019,Hari Subramoni,The Ohio State University,NA
ccgrid,2019,Martin Schulz,Technical University of Munich,EU
ccgrid,2019,Stefan Lankes,RWTH Aachen University,EU
ccgrid,2019,Philipp Gschwandtner,University of Innsbruck,EU
ccgrid,2019,Paris Carbone,KTH Royal Institute of Technology,EU
ccgrid,2019,Jim Dowling,"1 Swedish Institute of Computer Science, Kista, Sweden",EU
ccgrid,2019,Christoph Kessler,Linköping University,EU
ccgrid,2019,Christian Engelmann,Oak Ridge National Laboratory,NA
ccgrid,2019,Ron Brightwell,Sandia National Laboratories,NA
ccgrid,2019,Patrick Bridges,University of New Mexico,NA
ccgrid,2019,Raymond Namyst,University of Bordeaux - Inria,EU
ccgrid,2019,Jesper Larsson Träff,Vienna University of Technology,EU
ccgrid,2019,Marcelo Pasin,Université de Neuchâtel,EU
ccgrid,2019,Kamil Iskra,Argonne National Laboratory,NA
ccgrid,2019,Roberto Gioiosa,Oak Ridge National Laboratory,NA
ccgrid,2019,Alexandre Strube,Forschungszentrum Julich GmbH,EU
ccgrid,2019,Abdulrahman Kaitoua,Politecnico di Milano,EU
ccgrid,2019,Gabriele Mencagli,University of Pisa,EU
ccgrid,2019,Luiz F. Bittencourt,University of Campinas,SA
ccgrid,2019,Liana Fong,IBM T. J. Watson Research,NA
ccgrid,2019,Anirban Mandal,Renaissance Computing Institute,NA
ccgrid,2019,Claus Pahl,Free University of Bozen-Bolzano,EU
ccgrid,2019,Ioana Banicescu,Mississippi State University,NA
ccgrid,2019,Kris Bubendorfer,Victoria University of Wellington,OC
ccgrid,2019,Dick Epema,Delft University of Technology,EU
ccgrid,2019,Dimitrios Nikolopoulos,Queen's University of Belfast,EU
ccgrid,2019,Valentin Cristea,University Politehnica of Bucharest - UPB,EU
ccgrid,2019,Wei Zheng,Xiamen University,AS
ccgrid,2019,Ioannis Konstantinou,National Technical University of Athens,EU
ccgrid,2019,Uwe Schwiegelshohn,TU Dortmund University,EU
ccgrid,2019,Maciej Malawski,AGH University of Science and Technology,EU
ccgrid,2019,Oliver Sinnen,"Parallel & Reconfigurable Computing lab, Dept. of Electrical & Computer Engineering, University of Auckland",OC
ccgrid,2019,Cesar De Rose,PUCRS,SA
ccgrid,2019,Denis Trystram,Grenoble Institute of Technology,EU
ccgrid,2019,Ivona Brandic,TU Wien,EU
ccgrid,2019,Henri Casanova,University of Hawaii at Manoa,NA
ccgrid,2019,Radu Prodan,University of Innsbruck,EU
ccgrid,2019,Alex Delis,University of Athens,EU
ccgrid,2019,Ivan Rodero,Rutgers University,NA
ccgrid,2019,Joanna Kolodziej,Cracow University of Technology,EU
ccgrid,2019,Ramin Yahyapour,GWDG - University of Göttingen,EU
ccgrid,2019,Douglas Thain,University of Notre Dame,NA
ccgrid,2019,Jiwu Shu,Tsinghua University,AS
ccgrid,2019,Qingsong Wei,Institute of High Performance Computing,AS
ccgrid,2019,Bo Mao,Xiamen University,AS
ccgrid,2019,Patrick P. C. Lee,The Chinese University of Hong Kong,AS
ccgrid,2019,Weikuan Yu,Florida State University,NA
ccgrid,2019,Cao Qiang,Huazhong University of Science and Technology,AS
ccgrid,2019,Pedro Garcia Lopez,Universitat Rovira i Virgili,EU
ccgrid,2019,Weijun Xiao,Virginia Commonwealth University,NA
ccgrid,2019,Yu Hua Huazhong,University of Science and Technology,AS
ccgrid,2019,Ming Zhao,Arizona State University,NA
ccgrid,2019,Qing Liu,New Jersey Institute of Technology,NA
ccgrid,2019,Maria S. Perez,Universidad Politécnica de Madrid,EU
ccgrid,2019,Lei Tian,TINTRI,NA
ccgrid,2019,Yong Chen,Texas Tech University,NA
ccgrid,2019,Song Jiang,"University of Texas, Arlington",NA
ccgrid,2019,Yifeng Zhu,University of Maine,NA
ccgrid,2019,Gala Yadgar,Technion,AS
ccgrid,2019,Danny Harnik,IBM,NA
ccgrid,2019,Xiaosong Ma,North Carolina State University,NA
ccgrid,2019,Philip Shilane,Dell EMC,NA
ccgrid,2019,Joseph Izraelevitz,University of Rochester,NA
ccgrid,2020,Ferrol Aderholdt,Middle Tennessee State University,NA
ccgrid,2020,Ali Anwar,IBM,NA
ccgrid,2020,Engin Arslan,"University of Nevada, Reno",NA
ccgrid,2020,Marcos Assuncao,"Inria, LIP, ENS Lyon",EU
ccgrid,2020,Pavan Balaji,Argonne National Laboratory,NA
ccgrid,2020,Ioana Banicescu,Mississippi State University,NA
ccgrid,2020,Denis Barthou,University of Bordeaux,EU
ccgrid,2020,Umesh Bellur,IIT Bombay,AS
ccgrid,2020,Vicenç Beltran,Barcelona Supercomputing Center,EU
ccgrid,2020,Julien Bigot,"CEA, Maison de la Simulation",EU
ccgrid,2020,Luiz F. Bittencourt,University of Campinas,SA
ccgrid,2020,Antonio Brogi,University of Pisa,EU
ccgrid,2020,Suren Byna,Lawrence Berkeley National Laboratory,NA
ccgrid,2020,Rodrigo N. Calheiros,Western Sydney University,OC
ccgrid,2020,Philip Carns,Argonne National Laboratory,NA
ccgrid,2020,Giuliano Casale,Imperial College London,EU
ccgrid,2020,Mohamad Chaarawi,Intel,NA
ccgrid,2020,Kalyana Chadalavada,Google,NA
ccgrid,2020,Aparna Chandramowlishwaran,"University of California, Irvine",NA
ccgrid,2020,Sunita Chandrasekaran,University of Delaware,NA
ccgrid,2020,Yong Chen,Texas Tech University,NA
ccgrid,2020,Yue Cheng,George Mason University,NA
ccgrid,2020,Lucy Cherkasova,ARM Research,NA
ccgrid,2020,Gregory Chockler,"Royal Holloway, University of London",EU
ccgrid,2020,Sudheer Chunduri,Argonne National Laboratory,NA
ccgrid,2020,Florina M. Ciorba,University of Basel,EU
ccgrid,2020,Giuseppe Congiu,Argonne National Laboratory,EU
ccgrid,2020,Helene Coullon,INRIA,EU
ccgrid,2020,Dong Dai,UNC Charlotte,NA
ccgrid,2020,Debashis De,West Bengal University of Technology,AS
ccgrid,2020,Bronis de Supinski,Lawrence Livermore National Laboratory,NA
ccgrid,2020,Ewa Deelman,USC Information Sciences Institute,NA
ccgrid,2020,Alex Delis,University of Athens,EU
ccgrid,2020,Travis Desell,Rochester Institute of Technology,NA
ccgrid,2020,Bin Dong,Lawrence Berkeley National Lab,NA
ccgrid,2020,Matthieu Dorier,Argonne National Laboratory,NA
ccgrid,2020,Matthieu Dreher,Argonne National Laboratory,NA
ccgrid,2020,Dick Epema,Delft University of Technology,EU
ccgrid,2020,Thomas Fahringer,University of Innsbruck,EU
ccgrid,2020,Pedro Garcia Lopez,Universitat Rovira i Virgili,EU
ccgrid,2020,Balazs Gerofi,The University of Tokyo,AS
ccgrid,2020,Marco Guazzone,University of Piemonte Orientale,EU
ccgrid,2020,Tian Guo,Worcester Polytechnic Institute,NA
ccgrid,2020,Yanfei Guo,Argonne National Laboratory,NA
ccgrid,2020,David Guyon,"Inria, IMT-Atlantique",EU
ccgrid,2020,Bingsheng He,National University of Singapore,AS
ccgrid,2020,Dan Holmes,The University of Edinburgh,EU
ccgrid,2020,Atsushi Hori,RIKEN AICS,AS
ccgrid,2020,Sascha Hunold,Vienna University of Technology,EU
ccgrid,2020,Shadi Ibrahim,"Inria, Rennes Bretagne Atlantique Research Center",EU
ccgrid,2020,Neena Imam,Oak Ridge National Lab,NA
ccgrid,2020,Joseph Izraelevitz,University of Rochester,NA
ccgrid,2020,Surabhi Jain,Intel,NA
ccgrid,2020,Jithin Jose,Microsoft,NA
ccgrid,2020,Rubasri Kalidas,Intel,NA
ccgrid,2020,Helen Karatza,Aristotle University of Thessaloniki,EU
ccgrid,2020,Karen Karavanic,Portland State University,NA
ccgrid,2020,Dimitrios Katramatos,Brookhaven National Laboratory,NA
ccgrid,2020,Attila Kertesz,University of Szeged,EU
ccgrid,2020,Rajkumar Kettimuthu,Argonne National Lab and The University of Chicago,NA
ccgrid,2020,In Kee Kim,University of Georgia,NA
ccgrid,2020,Mariam Kiran,Lawrence Berkeley National Lab,NA
ccgrid,2020,Hillel Kolodner,IBM Haifa Research Lab,AS
ccgrid,2020,Ioannis Konstantinou,National Technical University of Athens,EU
ccgrid,2020,Anthony Kougkas,Illinois Institute of Technology,NA
ccgrid,2020,Quincey Koziol,Lawrence Berkeley National Laboratory,NA
ccgrid,2020,Diwakar Krishnamurthy,University of Calgary,NA
ccgrid,2020,Julian Martin Kunkel,University of Reading,EU
ccgrid,2020,Palden Lama,University of Texas at San Antonio,NA
ccgrid,2020,Thomas Lambert,Université de Bordeaux,EU
ccgrid,2020,Young Choon Lee,Macquarie University,OC
ccgrid,2020,Yao Liu,SUNY Binghamton,NA
ccgrid,2020,Xiaoyi Lu,The Ohio State University,NA
ccgrid,2020,Shikharesh Majumdar,Carleton University,NA
ccgrid,2020,Anirban Mandal,Renaissance Computing Institute,NA
ccgrid,2020,Zoltan Mann,University Duisburg-Essen,EU
ccgrid,2020,Naoya Maruyama,Lawrence Livermore National Laboratory,NA
ccgrid,2020,Suzanne McIntosh,"New York University - Courant Institute of Mathematical Sciences, Center for Data Science",NA
ccgrid,2020,Alba Cristina M. A. Melo,University of Brasilia (UnB),SA
ccgrid,2020,Gabriele Mencagli,University of Pisa,EU
ccgrid,2020,Diana Moise,Cray Inc.,EU
ccgrid,2020,Sébastien Monnet,University Savoie Mont Blanc,EU
ccgrid,2020,Suku Nair,Southern Methodist University,NA
ccgrid,2020,Marco Netto,IBM,SA
ccgrid,2020,Tuan Nguyen Gia,University of Turku,EU
ccgrid,2020,Dimitrios Nikolopoulos,Virginia Tech,NA
ccgrid,2020,Dan O'Keeffe,Royal Holloway University of London,EU
ccgrid,2020,Claus Pahl,Free University of Bolzano / Bozen,EU
ccgrid,2020,George Pallis,University of Cyprus,AS
ccgrid,2020,Stacy Patterson,Rensselaer Polytechnic Institute,NA
ccgrid,2020,Christian Perez,INRIA,EU
ccgrid,2020,Maria S. Perez,Universidad Politécnica de Madrid,EU
ccgrid,2020,Antonio J. Peña,Barcelona Supercomputing Center (BSC),EU
ccgrid,2020,Guillaume Pierre,IRISA / Université de Rennes 1,EU
ccgrid,2020,Jean-Marc Pierson,"University of Toulouse, IRIT",EU
ccgrid,2020,Ilia Pietri,University of Athens,EU
ccgrid,2020,Swaroop Pophale,Oak Ridge National Laboratory,NA
ccgrid,2020,Radu Prodan,University of Klagenfurt,EU
ccgrid,2020,Chenxi Qiu,Rowan University,NA
ccgrid,2020,Anna Queralt,Barcelona Supercomputing Center,EU
ccgrid,2020,Ivan Rodero,Rutgers University,NA
ccgrid,2020,Rizos Sakellariou,The University of Manchester,EU
ccgrid,2020,Nancy Samaan,University of Ottawa,NA
ccgrid,2020,Uwe Schwiegelshohn,TU Dortmund University,EU
ccgrid,2020,Satyabrata Sen,Oak Ridge National Laboratory,NA
ccgrid,2020,Bradley Settlemyer,Los Alamos National Laboratory,NA
ccgrid,2020,Sameer Shende,University of Oregon,NA
ccgrid,2020,Xuanhua Shi,Huazhong University of Science and Technology,AS
ccgrid,2020,Bruno Silva,IBM,SA
ccgrid,2020,Yogesh Simmhan,Indian Institute of Science,AS
ccgrid,2020,Oliver Sinnen,University of Auckland,OC
ccgrid,2020,Raül Sirvent,Barcelona Supercomputing Center,EU
ccgrid,2020,Lauren Smith,US Department of Defense,NA
ccgrid,2020,Jerome Soumagne,The HDF Group,NA
ccgrid,2020,Satish Narayana Srirama,University of Tartu,EU
ccgrid,2020,Patricia Stolf,IRIT,EU
ccgrid,2020,Francois Taiani,"Univ Rennes, CNRS, Inria, IRISA",EU
ccgrid,2020,Domenico Talia,University of Calabria,EU
ccgrid,2020,Nathan Tallent,Pacific Northwest National Laboratory,NA
ccgrid,2020,Damian Andrew Tamburri,Technical University of Eindhoven,EU
ccgrid,2020,Houjun Tang,Lawrence Berkeley National Laboratory,NA
ccgrid,2020,Osamu Tatebe,University of Tsukuba,AS
ccgrid,2020,Francois Tessier,ETH,EU
ccgrid,2020,Douglas Thain,University of Notre Dame,NA
ccgrid,2020,Massimo Torquati,University of Pisa,EU
ccgrid,2020,Denis Trystram,Grenoble Alpes university,EU
ccgrid,2020,Dimitrios Tsoumakos,National Technical University of Athens,EU
ccgrid,2020,Carlos A. Varela,Rensselaer Polytechnic Institute,NA
ccgrid,2020,Blesson Varghese,Queen's University Belfast,EU
ccgrid,2020,Vladimir Vlassov,Royal Institute of Technology (KTH),EU
ccgrid,2020,Lizhe Wang,Chinese Academy of Sciences,AS
ccgrid,2020,Yanjie Wei,"Shenzhen Institutes of Advanced Technology, CAS",AS
ccgrid,2020,Michele Weiland,The University of Edinburgh,EU
ccgrid,2020,Mike Wittie,Montana State University,NA
ccgrid,2020,Chase Wu,New Jersey Institute of Technology,NA
ccgrid,2020,Song Wu,Huazhong University of Science and Technology,AS
ccgrid,2020,Ramin Yahyapour,GWDG - University of Göttingen,EU
ccgrid,2020,Orcun Yildiz,Argonne National Laboratory,NA
ccgrid,2020,Weikuan Yu,Florida State University,NA
ccgrid,2020,Mohamed Zahran,New York University,NA
ccgrid,2020,Jidong Zhai,Tsinghua University,AS
ccgrid,2020,Mai Zheng,New Mexico State University,NA
ccgrid,2020,Amelie Chi Zhou,Shenzhen University,AS
ccgrid,2020,Michelle Zhu,Montclair State University,NA
ccgrid,2020,Xiao Liu,Deakin University,OC
ccgrid,2020,H B Acharya,Rochester Inst of Tech,NA
ccgrid,2020,Vignesh Adhinarayanan,AMD Research,NA
ccgrid,2020,Ashiq Anjum,University of Derby,EU
ccgrid,2020,Christos Antonopoulos,University of Thessaly,EU
ccgrid,2020,Olivier Aumage,INRIA,EU
ccgrid,2020,Woongki Baek,UNIST,AS
ccgrid,2020,Olivier Barais,Irisa,EU
ccgrid,2020,Mutaz Barika,University of Tasmania,OC
ccgrid,2020,Nikolaos Bellas,University of Thessaly,EU
ccgrid,2020,Abhinav Bhatele,University of Maryland,NA
ccgrid,2020,Walter Binder,Università Della Svizzera Italiana,EU
ccgrid,2020,Loren Bruns,The University of Melbourne,OC
ccgrid,2020,Kris Bubendorfer,Victoria University of Wellington,OC
ccgrid,2020,Harold Castro,Universidad de Los Andes,SA
ccgrid,2020,Eugenio Cesario,ICAR-CNR,EU
ccgrid,2020,Jinjun Chen,"University of Technology, Sydney",OC
ccgrid,2020,Shiping Chen,CSIRO,OC
ccgrid,2020,Chris Culnane,The University of Melbourne,OC
ccgrid,2020,Marco Danelutto,University of Pisa,EU
ccgrid,2020,Silvia Delgado Olabarriaga,ICAR-CNR,EU
ccgrid,2020,Yuri Demchenko,University of Amsterdam,EU
ccgrid,2020,Yuan Dong,The University of Sydney,OC
ccgrid,2020,Matthew Dosanjh,Sandia National Laboratories,NA
ccgrid,2020,Jonathan Eastep,Intel,NA
ccgrid,2020,Wu-Chun Feng,Virginia Tech,NA
ccgrid,2020,Rong Ge,Clemson University,NA
ccgrid,2020,Dimitrios Georgakopoulos,Swinburne University of Technology,OC
ccgrid,2020,Sandra Gesing,University of Notre Dame,NA
ccgrid,2020,Soumya Ghosh,Indian Institute of Technology Kharagpur,AS
ccgrid,2020,Tristan Glatard,Concordia University,NA
ccgrid,2020,John Grundy,Monash University,OC
ccgrid,2020,Gareth Howells,University of Kent,EU
ccgrid,2020,Chung-Hsing Hsu,Oak Ridge National Laboratory,NA
ccgrid,2020,Robert Hsu,Chung Hua University,AS
ccgrid,2020,William Hu,University of Melbourne,OC
ccgrid,2020,Fang Huang,University of Science and Technology of China,AS
ccgrid,2020,Alexandru Iosup,Vrije Universiteit Amsterdam and TU Delft,EU
ccgrid,2020,Glenn Jayaputera,Melbourne eResearch Group,OC
ccgrid,2020,Wei Jie,University of Manchester,EU
ccgrid,2020,Dali Kaafar,CSIRO,OC
ccgrid,2020,Paul Kaufmann,Mainz University,EU
ccgrid,2020,Samee Khan,North Dakota State University,NA
ccgrid,2020,Kavi Kumar Khedo,University of Mauritius,AF
ccgrid,2020,Jinyoung Kim,The University of Melbourne,OC
ccgrid,2020,Yu Kong,Rochester Institute of Technology,NA
ccgrid,2020,Sriram Krishnamoorthy,Pacific Northwest National Lab,NA
ccgrid,2020,Daniel Krutz,Rochester Institute of Technology,NA
ccgrid,2020,Minseok Kwon,Rochester Institute of Technology,NA
ccgrid,2020,Dongyoon Lee,Stony Brook University,NA
ccgrid,2020,Shujun Li,University of Kent,EU
ccgrid,2020,Weiguo Liu,Shandong University,AS
ccgrid,2020,Xumin Liu,Rochester Institute of Technology,NA
ccgrid,2020,Alexander Loui,Rochester Institute of Technology,NA
ccgrid,2020,Yang Lu,The University of Kent,EU
ccgrid,2020,Preeti Malakar,Indian Institute of Technology Kanpur,NA
ccgrid,2020,Maciej Malawski,AGH University of Science and Technology,EU
ccgrid,2020,Lena Mashayekhy,University of Delaware,NA
ccgrid,2020,Michael Mior,Rochester Institute of Technology,NA
ccgrid,2020,Hiroshi Nakashima,Kyoto University,AS
ccgrid,2020,Surya Nepal,CSIRO,OC
ccgrid,2020,Ifeoma Nwogu,Rochester Institute of Technology,NA
ccgrid,2020,Anne-Cécile Orgerie,Inria,EU
ccgrid,2020,Yao Pan,The University of Melbourne,OC
ccgrid,2020,Yin Pan,Rochester Institute of Technology,NA
ccgrid,2020,Udaya Parampalli,The University of Melbourne,OC
ccgrid,2020,Viktor K. Prasanna,University of Southern California,NA
ccgrid,2020,Satish Puri,Marquette University,NA
ccgrid,2020,Hossein Pursultani,The University of Melbourne,OC
ccgrid,2020,M. Mustafa Rafique,Rochester Institute of Technology,NA
ccgrid,2020,Omer Rana,Cardiff University,EU
ccgrid,2020,Hassan Reza,University of North Dakota,NA
ccgrid,2020,Barry Rountree,Lawrence Livermore National Laboratory,NA
ccgrid,2020,Ing-Ray Chen,Virginia Tech University,NA
ccgrid,2020,Romain Rouvoy,University of Lille,EU
ccgrid,2020,Richard Sinnott,The University of Melbourne,OC
ccgrid,2020,Anthony Stell,The University of Melbourne,OC
ccgrid,2020,Jeremy Straub,North Dakota State University,NA
ccgrid,2020,Zahir Tari,RMIT University,OC
ccgrid,2020,Chen Wang,CSIRO,OC
ccgrid,2020,Linwei Wang,Rochester Institute of Technology,NA
ccgrid,2020,Shuo Wang,"Monash University/ Data 61, CSIRO",OC
ccgrid,2020,Paul Watson,University of Newcastle,EU
ccgrid,2020,Tongquan Wei,East China Normal University,AS
ccgrid,2020,Fatos Xhafa,Universitat Politècnica de Catalunya,EU
ccgrid,2020,Wang Xiaokang,HUST,AS
ccgrid,2020,Wei Xue,Tsinghua University,AS
ccgrid,2020,Deze Zeng,The University of Aizu,AS
ccgrid,2020,FZiming Zhao,Rochester Institute of Technology,NA
ccgrid,2020,Gul Agha,University of Illinois Urbana-Champaign,NA
ccgrid,2020,Ivona Brandić,Vienna University of Technology,EU
ccgrid,2020,Laurent Lefevre,École normale supérieure de Lyon,EU
ccgrid,2020,Rajiv Ranjan,Newcastle University,EU
ccgrid,2020,Nageswara Rao,Oak Ridge National Laboratory,NA
ccgrid,2020,Adel N. Toosi,Monash University,OC
ccgrid,2020,Joanna Kolodziej,Cracow University of Technology,EU
ccgrid,2020,Alexandru Uta,Vrije Universiteit Amsterdam,EU
ccgrid,2020,Philipp Gschwandtner,University of Innsbruck,EU
ccgrid,2020,Guido Salvaneschi,TU Darmstadt,EU
ccgrid,2021,Young Choon Lee,Macquarie University,OC
ccgrid,2021,Dhabaleswar Panda,The Ohio State University,NA
ccgrid,2021,Susumu Date,Osaka University,AS
ccgrid,2021,Kazunori Nozaki,Osaka University,AS
ccgrid,2021,Imdad Ullah,PSAU,AS
ccgrid,2021,Xingliang Yuan,Monash University,OC
ccgrid,2021,Beomseok Nam,Sungkyunkwan University,AS
ccgrid,2021,Surya Nepal,CSIRO,OC
ccgrid,2021,Chunghan Lee,Toyota Motor Corporation,AS
ccgrid,2021,Bahman Javadi,Western Sydney University,OC
ccgrid,2021,Michela Taufer,The University of Tennessee,NA
ccgrid,2021,Issam Rais,UiT,EU
ccgrid,2021,Daniel Balouek-Thomert,Rutgers University,NA
ccgrid,2021,Eddy Caron,"ENS-Lyon, INRIA",EU
ccgrid,2021,Yuuichi Teranishi,Osaka University,AS
ccgrid,2021,Di Wu,Sun Yat-Sen University,AS
ccgrid,2021,Hirotake Abe,University of Tsukuba,AS
ccgrid,2021,Chonho Lee,Osaka University,AS
ccgrid,2021,Stacy Patterson,Rensselaer Polytechnic Institute,NA
ccgrid,2021,Aravinda Rao,The University of Melbourne,OC
ccgrid,2021,Wei Li,The University of Sydney,OC
ccgrid,2021,Paul Roe,Queensland University of Technology,OC
ccgrid,2021,Patricia Stolf,University of Toulouse,EU
ccgrid,2021,Alba Cristina M. A. Melo,University of Brasilia (UnB),SA
ccgrid,2021,Wu-Chun Feng,Virginia Tech,NA
ccgrid,2021,Jesus Carretero,Universidad Carlos III de Madrid,EU
