Conference,Year,level_2,X0
ccgrid,2013,pct_big_na,0.0
ccgrid,2013,pct_big_eu,1.14
ccgrid,2013,pct_big_as,0.0
ccgrid,2013,pct_big_other,0.0
ccgrid,2014,pct_big_na,5.88
ccgrid,2014,pct_big_eu,5.88
ccgrid,2014,pct_big_as,0.0
ccgrid,2014,pct_big_other,0.0
ccgrid,2015,pct_big_na,1.61
ccgrid,2015,pct_big_eu,8.06
ccgrid,2015,pct_big_as,1.61
ccgrid,2015,pct_big_other,1.61
ccgrid,2016,pct_big_na,2.78
ccgrid,2016,pct_big_eu,5.56
ccgrid,2016,pct_big_as,1.39
ccgrid,2016,pct_big_other,0.0
ccgrid,2017,pct_big_na,3.03
ccgrid,2017,pct_big_eu,6.06
ccgrid,2017,pct_big_as,0.0
ccgrid,2017,pct_big_other,1.52
ccgrid,2018,pct_big_na,3.7
ccgrid,2018,pct_big_eu,1.85
ccgrid,2018,pct_big_as,5.56
ccgrid,2018,pct_big_other,0.0
ccgrid,2019,pct_big_na,0.0
ccgrid,2019,pct_big_eu,10.87
ccgrid,2019,pct_big_as,0.0
ccgrid,2019,pct_big_other,0.0
ccgrid,2020,pct_big_na,4.6
ccgrid,2020,pct_big_eu,1.15
ccgrid,2020,pct_big_as,0.0
ccgrid,2020,pct_big_other,0.0
ccgrid,2021,pct_big_na,2.53
ccgrid,2021,pct_big_eu,7.59
ccgrid,2021,pct_big_as,5.06
ccgrid,2021,pct_big_other,0.0
ccgrid,2022,pct_big_na,3.51
ccgrid,2022,pct_big_eu,3.51
ccgrid,2022,pct_big_as,1.75
ccgrid,2022,pct_big_other,0.0
ccgrid,2023,pct_big_na,1.69
ccgrid,2023,pct_big_eu,5.08
ccgrid,2023,pct_big_as,5.08
ccgrid,2023,pct_big_other,0.0
ccgrid,2024,pct_big_na,0.0
ccgrid,2024,pct_big_eu,4.11
ccgrid,2024,pct_big_as,5.48
ccgrid,2024,pct_big_other,0.0
cloud,2012,pct_big_na,28.0
cloud,2012,pct_big_eu,16.0
cloud,2012,pct_big_as,8.0
cloud,2013,pct_big_na,36.36
cloud,2013,pct_big_eu,18.18
cloud,2013,pct_big_as,0.0
cloud,2014,pct_big_na,26.92
cloud,2014,pct_big_eu,7.69
cloud,2014,pct_big_as,0.0
cloud,2014,pct_big_other,3.85
cloud,2015,pct_big_na,23.33
cloud,2015,pct_big_eu,10.0
cloud,2015,pct_big_as,3.33
cloud,2015,pct_big_other,3.33
cloud,2016,pct_big_na,27.03
cloud,2016,pct_big_eu,8.11
cloud,2016,pct_big_as,5.41
cloud,2017,pct_big_na,15.66
cloud,2017,pct_big_eu,7.23
cloud,2017,pct_big_as,1.2
cloud,2018,pct_big_na,11.59
cloud,2018,pct_big_eu,8.7
cloud,2018,pct_big_as,4.35
cloud,2018,pct_big_other,0.0
cloud,2019,pct_big_na,7.41
cloud,2019,pct_big_eu,9.26
cloud,2019,pct_big_as,1.85
cloud,2020,pct_big_na,27.27
cloud,2020,pct_big_eu,0.0
cloud,2020,pct_big_as,3.03
cloud,2021,pct_big_na,24.44
cloud,2021,pct_big_eu,4.44
cloud,2021,pct_big_as,6.67
cloud,2022,pct_big_na,10.81
cloud,2022,pct_big_eu,2.7
cloud,2022,pct_big_as,16.22
cloud,2023,pct_big_na,20.51
cloud,2023,pct_big_eu,7.69
cloud,2023,pct_big_as,2.56
cloud,2024,pct_big_na,16.39
cloud,2024,pct_big_eu,4.92
cloud,2024,pct_big_as,1.64
europar,2012,pct_big_na,4.0
europar,2012,pct_big_eu,2.67
europar,2012,pct_big_as,4.0
europar,2012,pct_big_other,0.0
europar,2013,pct_big_na,4.41
europar,2013,pct_big_eu,5.88
europar,2013,pct_big_as,7.35
europar,2013,pct_big_other,1.47
europar,2014,pct_big_na,2.94
europar,2014,pct_big_eu,4.41
europar,2014,pct_big_as,1.47
europar,2014,pct_big_other,0.0
europar,2015,pct_big_na,0.0
europar,2015,pct_big_eu,0.0
europar,2015,pct_big_as,0.0
europar,2015,pct_big_other,1.89
europar,2016,pct_big_na,6.38
europar,2016,pct_big_eu,8.51
europar,2016,pct_big_as,0.0
europar,2016,pct_big_other,0.0
europar,2017,pct_big_na,0.0
europar,2017,pct_big_eu,4.0
europar,2017,pct_big_as,0.0
europar,2017,pct_big_other,0.0
europar,2018,pct_big_na,1.79
europar,2018,pct_big_eu,1.79
europar,2018,pct_big_as,1.79
europar,2018,pct_big_other,0.0
europar,2019,pct_big_na,8.33
europar,2019,pct_big_eu,0.0
europar,2019,pct_big_as,0.0
europar,2019,pct_big_other,0.0
europar,2020,pct_big_na,0.0
europar,2020,pct_big_eu,0.0
europar,2020,pct_big_as,0.0
europar,2020,pct_big_other,0.0
europar,2021,pct_big_na,2.63
europar,2021,pct_big_eu,5.26
europar,2021,pct_big_as,0.0
europar,2021,pct_big_other,0.0
europar,2022,pct_big_na,4.0
europar,2022,pct_big_eu,4.0
europar,2022,pct_big_as,0.0
europar,2023,pct_big_na,0.0
europar,2023,pct_big_eu,2.08
europar,2023,pct_big_as,0.0
europar,2024,pct_big_na,3.45
europar,2024,pct_big_eu,4.6
europar,2024,pct_big_as,3.45
europar,2024,pct_big_other,1.15
eurosys,2012,pct_big_na,23.08
eurosys,2012,pct_big_eu,11.54
eurosys,2012,pct_big_as,7.69
eurosys,2012,pct_big_other,0.0
eurosys,2013,pct_big_na,23.08
eurosys,2013,pct_big_eu,7.69
eurosys,2013,pct_big_as,11.54
eurosys,2013,pct_big_other,0.0
eurosys,2014,pct_big_na,22.22
eurosys,2014,pct_big_eu,11.11
eurosys,2014,pct_big_as,3.7
eurosys,2015,pct_big_na,16.67
eurosys,2015,pct_big_eu,13.33
eurosys,2015,pct_big_as,3.33
eurosys,2016,pct_big_na,15.79
eurosys,2016,pct_big_eu,2.63
eurosys,2016,pct_big_as,13.16
eurosys,2017,pct_big_na,7.89
eurosys,2017,pct_big_eu,10.53
eurosys,2017,pct_big_as,5.26
eurosys,2018,pct_big_na,11.9
eurosys,2018,pct_big_eu,9.52
eurosys,2018,pct_big_as,7.14
eurosys,2018,pct_big_other,0.0
eurosys,2019,pct_big_na,16.67
eurosys,2019,pct_big_eu,4.76
eurosys,2019,pct_big_as,7.14
eurosys,2019,pct_big_other,0.0
eurosys,2020,pct_big_na,13.16
eurosys,2020,pct_big_eu,10.53
eurosys,2020,pct_big_as,7.89
eurosys,2020,pct_big_other,2.63
eurosys,2021,pct_big_na,10.53
eurosys,2021,pct_big_eu,10.53
eurosys,2021,pct_big_as,5.26
eurosys,2021,pct_big_other,2.63
eurosys,2022,pct_big_na,9.3
eurosys,2022,pct_big_eu,2.33
eurosys,2022,pct_big_as,9.3
eurosys,2022,pct_big_other,0.0
eurosys,2023,pct_big_na,7.69
eurosys,2023,pct_big_eu,3.85
eurosys,2023,pct_big_as,19.23
eurosys,2024,pct_big_na,14.29
eurosys,2024,pct_big_eu,2.86
eurosys,2024,pct_big_as,14.29
ic2e,2013,pct_big_na,16.22
ic2e,2013,pct_big_eu,2.7
ic2e,2013,pct_big_as,10.81
ic2e,2014,pct_big_na,16.67
ic2e,2014,pct_big_eu,4.17
ic2e,2014,pct_big_as,8.33
ic2e,2015,pct_big_na,14.29
ic2e,2015,pct_big_eu,0.0
ic2e,2015,pct_big_as,14.29
ic2e,2016,pct_big_na,9.52
ic2e,2016,pct_big_eu,0.0
ic2e,2016,pct_big_as,0.0
ic2e,2016,pct_big_other,0.0
ic2e,2017,pct_big_na,6.67
ic2e,2017,pct_big_eu,13.33
ic2e,2017,pct_big_as,13.33
ic2e,2018,pct_big_na,18.75
ic2e,2018,pct_big_eu,18.75
ic2e,2018,pct_big_as,0.0
ic2e,2019,pct_big_na,4.35
ic2e,2019,pct_big_eu,0.0
ic2e,2019,pct_big_as,4.35
ic2e,2020,pct_big_na,5.56
ic2e,2020,pct_big_eu,0.0
ic2e,2020,pct_big_as,0.0
ic2e,2020,pct_big_other,0.0
ic2e,2021,pct_big_na,13.04
ic2e,2021,pct_big_eu,0.0
ic2e,2021,pct_big_as,4.35
ic2e,2021,pct_big_other,0.0
ic2e,2022,pct_big_na,6.9
ic2e,2022,pct_big_eu,6.9
ic2e,2022,pct_big_as,0.0
ic2e,2023,pct_big_na,4.35
ic2e,2023,pct_big_eu,8.7
ic2e,2023,pct_big_as,0.0
ic2e,2024,pct_big_na,0.0
ic2e,2024,pct_big_eu,6.45
ic2e,2024,pct_big_as,0.0
ic2e,2024,pct_big_other,0.0
icdcs,2012,pct_big_na,13.43
icdcs,2012,pct_big_eu,1.49
icdcs,2012,pct_big_as,2.99
icdcs,2013,pct_big_na,14.55
icdcs,2013,pct_big_eu,0.0
icdcs,2013,pct_big_as,1.82
icdcs,2013,pct_big_other,0.0
icdcs,2014,pct_big_na,6.78
icdcs,2014,pct_big_eu,3.39
icdcs,2014,pct_big_as,3.39
icdcs,2015,pct_big_na,4.41
icdcs,2015,pct_big_eu,1.47
icdcs,2015,pct_big_as,2.94
icdcs,2016,pct_big_na,3.39
icdcs,2016,pct_big_eu,1.69
icdcs,2016,pct_big_as,1.69
icdcs,2017,pct_big_na,9.6
icdcs,2017,pct_big_eu,1.69
icdcs,2017,pct_big_as,1.13
icdcs,2017,pct_big_other,0.56
icdcs,2018,pct_big_na,6.15
icdcs,2018,pct_big_eu,0.77
icdcs,2018,pct_big_as,3.85
icdcs,2019,pct_big_na,6.25
icdcs,2019,pct_big_eu,0.57
icdcs,2019,pct_big_as,1.14
icdcs,2019,pct_big_other,0.0
icdcs,2020,pct_big_na,2.94
icdcs,2020,pct_big_eu,2.94
icdcs,2020,pct_big_as,1.96
icdcs,2020,pct_big_other,0.0
icdcs,2021,pct_big_na,1.3
icdcs,2021,pct_big_eu,0.0
icdcs,2021,pct_big_as,5.19
icdcs,2021,pct_big_other,0.0
icdcs,2022,pct_big_na,1.47
icdcs,2022,pct_big_eu,0.0
icdcs,2022,pct_big_as,1.47
icdcs,2022,pct_big_other,0.0
icdcs,2023,pct_big_na,2.68
icdcs,2023,pct_big_eu,0.0
icdcs,2023,pct_big_as,6.25
icdcs,2023,pct_big_other,0.0
icdcs,2024,pct_big_na,1.49
icdcs,2024,pct_big_eu,2.99
icdcs,2024,pct_big_as,3.73
icdcs,2024,pct_big_other,0.0
middleware,2012,pct_big_na,13.04
middleware,2012,pct_big_eu,4.35
middleware,2012,pct_big_as,0.0
middleware,2013,pct_big_na,12.5
